,Happiness,trstprl,value
0,0,0,321
1,0,1,35
2,0,2,31
3,0,3,24
4,0,4,15
5,0,5,28
6,0,6,4
7,0,7,7
8,0,8,2
9,0,9,2
10,0,10,10
11,1,0,322
12,1,1,93
13,1,2,73
14,1,3,52
15,1,4,31
16,1,5,48
17,1,6,14
18,1,7,8
19,1,8,9
20,1,9,6
21,1,10,7
22,2,0,485
23,2,1,204
24,2,2,165
25,2,3,142
26,2,4,76
27,2,5,104
28,2,6,34
29,2,7,21
30,2,8,27
31,2,9,7
32,2,10,14
33,3,0,616
34,3,1,284
35,3,2,345
36,3,3,289
37,3,4,169
38,3,5,233
39,3,6,70
40,3,7,63
41,3,8,42
42,3,9,10
43,3,10,11
44,4,0,720
45,4,1,388
46,4,2,473
47,4,3,530
48,4,4,335
49,4,5,391
50,4,6,148
51,4,7,119
52,4,8,87
53,4,9,16
54,4,10,18
55,5,0,1252
56,5,1,553
57,5,2,751
58,5,3,813
59,5,4,637
60,5,5,954
61,5,6,342
62,5,7,239
63,5,8,142
64,5,9,34
65,5,10,55
66,6,0,1145
67,6,1,611
68,6,2,786
69,6,3,983
70,6,4,781
71,6,5,1142
72,6,6,575
73,6,7,467
74,6,8,262
75,6,9,72
76,6,10,76
77,7,0,1183
78,7,1,632
79,7,2,1000
80,7,3,1306
81,7,4,1208
82,7,5,1765
83,7,6,1079
84,7,7,1052
85,7,8,654
86,7,9,168
87,7,10,98
88,8,0,1098
89,8,1,498
90,8,2,904
91,8,3,1296
92,8,4,1264
93,8,5,2170
94,8,6,1553
95,8,7,1710
96,8,8,1129
97,8,9,333
98,8,10,193
99,9,0,622
100,9,1,319
101,9,2,434
102,9,3,646
103,9,4,666
104,9,5,1233
105,9,6,901
106,9,7,1109
107,9,8,850
108,9,9,285
109,9,10,172
110,10,0,579
111,10,1,112
112,10,2,225
113,10,3,253
114,10,4,237
115,10,5,547
116,10,6,257
117,10,7,356
118,10,8,319
119,10,9,110
120,10,10,178
