State,Bad feeling,Meaning and purpose of work,Good feeling,"Optimism, Autonomy, Competence",Social skepticism,Community well-being
AL,-0.21,0.66,-0.32,0.18,-0.75,-0.23
BE,0.19,0.07,0.09,-0.09,0,-0.08
BG,-0.27,-0.1,-0.44,-0.19,-0.79,0.04
CH,0.17,0.16,0.33,0.34,0.39,0.15
CY,0,0.23,0.09,0.07,-0.68,-0.09
CZ,-0.29,-0.31,0,-0.39,-0.28,-0.26
DE,0.18,0.2,0.13,0.21,0.08,0.13
DK,0.4,0.31,0.34,0.37,0.84,0.1
EE,-0.14,-0.02,-0.09,-0.07,0.13,-0.19
ES,0.01,0.15,-0.11,-0.12,-0.02,0.06
FI,0.37,0.14,0.14,0.12,0.63,-0.07
FR,-0.11,0.02,-0.01,-0.06,-0.08,-0.06
GB,0.03,-0.16,0.01,-0.04,0.26,-0.05
HU,-0.51,-0.01,-0.31,-0.46,-0.11,0.18
IE,0.23,-0.14,0.08,0.15,0.19,0.13
IL,0.16,0.15,0.1,0.31,0.05,-0.02
IS,0.26,0.12,0.31,0.14,0.6,0.44
IT,-0.16,0.01,-0.15,0.01,-0.28,-0.12
LT,-0.17,-0.17,-0.31,-0.28,0.02,-0.12
NL,0.05,0.17,0.23,-0.1,0.41,-0.01
NO,0.5,-0.14,0.31,0.18,0.72,0.21
PL,0.08,0.22,0.04,0.03,-0.47,-0.03
PT,-0.2,-0.27,-0.26,-0.15,-0.56,-0.04
RU,-0.36,-0.17,-0.21,-0.31,-0.19,-0.27
SE,0.34,-0.2,0.21,0.2,0.52,0.19
SI,0.31,-0.07,0.2,0.16,-0.14,0.03
SK,-0.3,-0.39,-0.04,-0.22,-0.49,-0.05
UA,-0.68,-0.4,-0.21,-0.23,-0.28,-0.1
XK,-0.32,0.33,-0.21,0.42,-0.72,0.15
